Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:53Z,15.0,25.0,3.73333,0.7
Dewan Madhava Rao Road/Sri Krishna Rajendra Road,2019-10-26T02:47:12Z,16.0,22.0,1.81818,0.7
4th Main Road,2019-10-26T02:47:12Z,9.0,18.0,4.47619,0.7
30th Cross Road,2019-10-26T02:47:12Z,12.0,20.0,3.33333,0.7
4th Main Road,2019-10-26T02:47:45Z,13.0,25.0,4.85714,0.7
Dewan Madhava Rao Road/Sri Krishna Rajendra Road,2019-10-26T02:47:45Z,13.0,25.0,4.85714,0.7
4th Main Road,2019-10-26T02:48:00Z,12.0,23.0,4.68322,0.7
7th Cross Road,2019-10-26T02:48:00Z,12.0,22.0,4.25974,0.7
80th Feet Road/Vidyapeetha Circle,2019-10-26T02:48:00Z,10.0,17.0,3.13725,0.7
7th Main Road,2019-10-26T02:48:00Z,10.0,19.0,4.22556,0.7
100 Feet Ring Road/Outer Ring Road,2019-10-26T02:48:00Z,10.0,20.0,4.71428,0.7
7th Main Road,2019-10-26T02:47:57Z,12.0,24.0,5.07142,0.7
80th Feet Road/Vidyapeetha Circle,2019-10-26T02:47:57Z,11.0,23.0,5.30434,0.7
7th Cross Road,2019-10-26T02:47:57Z,9.0,20.0,5.42857,0.7
4th Main Road,2019-10-26T02:47:57Z,8.0,19.0,5.72932,0.7
1st Main Road,2019-10-26T02:47:36Z,15.0,27.0,4.47619,0.7
Sri Krishna Rajendra Road/Shiva Shankar Circle/K R Road,2019-10-26T02:47:36Z,13.0,32.0,6.85714,0.7
Sri Krishna Rajendra Road/Shiva Shankar Circle/K R Road,2019-10-26T02:47:18Z,17.0,41.0,7.03135,0.7
1st Main Road,2019-10-26T02:47:18Z,16.0,33.0,5.77489,0.7
Basavangudi,2019-10-26T02:47:24Z,18.0,31.0,4.32258,0.7
50 Feet Road,2019-10-26T02:48:06Z,7.0,23.0,7.78881,0.7
13th Main Road,2019-10-26T02:48:06Z,8.0,20.0,6.14285,0.7
15th Main Road,2019-10-26T02:48:06Z,8.0,20.0,6.14285,0.7
4th Main Road,2019-10-26T02:48:06Z,10.0,24.0,6.2619,0.7
Pipeline Road,2019-10-26T02:48:06Z,10.0,19.0,4.22556,0.7
15th Main Road,2019-10-26T02:48:06Z,11.0,23.0,5.30434,0.7
13th Main Road,2019-10-26T02:48:06Z,10.0,18.0,3.7037,0.7
50 Feet Road,2019-10-26T02:48:06Z,9.0,21.0,5.83673,0.7
8th Main Road,2019-10-26T02:48:06Z,7.0,10.0,0.0,0.7
Bagappa Road,2019-10-26T02:48:06Z,8.0,16.0,4.17857,0.7
Bull Temple Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
Minarva Circle/Jayachamraja Wodeyan Road/Diagonal Road,2019-10-26T02:47:45Z,17.0,29.0,4.14778,0.7
Nawab Hyderali Road/Sajjan Rao Road/New Basappa Circle,2019-10-26T02:47:45Z,16.0,31.0,5.24423,0.7
Dispensary Road/1st Main Road,2019-10-26T02:47:45Z,11.0,25.0,6.0,0.7
Dispensary Road/1st Main Road,2019-10-26T02:47:13Z,13.0,29.0,6.11822,0.7
Nawab Hyderali Road/Sajjan Rao Road/New Basappa Circle,2019-10-26T02:47:13Z,10.0,26.0,6.85714,0.7
Minarva Circle/Jayachamraja Wodeyan Road/Diagonal Road,2019-10-26T02:47:13Z,13.0,31.0,6.62672,0.7
Bull Temple Road,2019-10-26T02:48:06Z,7.0,21.0,7.19727,0.7
Bagappa Road,2019-10-26T02:48:06Z,8.0,16.0,4.17857,0.7
8th Main Road,2019-10-26T02:48:06Z,8.0,13.0,2.05128,0.7
Basavangudi,2019-10-26T02:48:00Z,10.0,23.0,5.92546,0.7
Church Road/Kanakapura Main Road,2019-10-26T02:48:00Z,13.0,21.0,3.1746,0.7
Church Road/Kanakapura Main Road,2019-10-26T02:47:57Z,13.0,24.0,4.47619,0.7
Basavangudi,2019-10-26T02:47:57Z,12.0,23.0,4.68322,0.7
Bull Temple Road,2019-10-26T02:48:06Z,7.0,22.0,7.50649,0.7
Bull Temple Road,2019-10-26T02:48:06Z,13.0,22.0,3.63636,0.7
4th Cross Road,2019-10-26T02:48:06Z,10.0,22.0,5.55844,0.7
Wamy Temple Road,2019-10-26T02:48:06Z,11.0,22.0,4.90909,0.7
1st B Cross Road,2019-10-26T02:48:06Z,13.0,30.0,6.38095,0.7
Pipeline Road,2019-10-26T02:47:13Z,24.0,39.0,4.10989,0.7
Main Chamrajpet Road,2019-10-26T02:47:45Z,16.0,29.0,4.64039,0.7
Albert Victor Road/Av Road/Sri Jayachamaraja Odeiar Road,2019-10-26T02:48:06Z,7.0,17.0,5.59663,0.7
